id,recipe_name,pet_type,age_group,ingredients,ingredient_quantities,preparation_steps,calories,protein,fat,carbohydrates,vitamins,minerals,cook_time,difficulty,health_benefits,health_conditions_supported,source_url
DOG_298,Homestyle Salmon Fillet & Sweet Potato Mash,Dog,Adult,"Salmon Fillet, Sweet Potato, Zucchini, Coconut Oil","225g, 96g, 63g, 5g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini) so they are easily digestible. | Mix the cooked Salmon Fillet, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",155,12.2,8.9,5.4,"Vitamin A, Folic Acid, Niacin, Vitamin E","Magnesium, Calcium, Zinc",20 mins,Easy,"Joint Health, Digestive Health","Joint Health Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-homestyle-salmon-fillet-and-sweet-potato-mash
DOG_299,Premium Lamb Lean & Quinoa Loaf,Dog,Senior,"Lamb Lean, Quinoa, Celery, Zucchini, Broccoli, Flaxseed Oil","181g, 94g, 73g, 66g, 38g, 5g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery, Zucchini, Broccoli) so they are easily digestible. | Mix the cooked Lamb Lean, Quinoa, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",157,11.3,9.9,5.8,"Vitamin C, Vitamin D3, Riboflavin, Vitamin B12","Iron, Zinc",25 mins,Medium,"General Wellness, Skin & Coat","General Wellness Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-premium-lamb-lean-and-quinoa-loaf
DOG_300,Hearty Tofu & Potato Bake,Dog,Adult,"Tofu, Potato, Broccoli, Coconut Oil","169g, 142g, 27g, 7g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli) so they are easily digestible. | Mix the cooked Tofu, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",89,5.0,4.5,8.5,"Niacin, Riboflavin","Potassium, Iron",15 mins,Easy,General Wellness,General Wellness Support,https://pawfeed.ai/recipes/dog-hearty-tofu-and-potato-bake
DOG_301,Premium Lamb Lean & Potato Puree topper,Dog,Adult,"Lamb Lean, Potato, Peas, Broccoli, Zucchini, Flaxseed Oil","228g, 102g, 55g, 77g, 67g, 8g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Broccoli, Zucchini) so they are easily digestible. | Mix the cooked Lamb Lean, Potato, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",166,12.1,10.6,6.1,"Folic Acid, Vitamin B12","Copper, Manganese",20 mins,Easy,"Weight Management, General Wellness","Weight Management Support, General Wellness Support",https://pawfeed.ai/recipes/dog-premium-lamb-lean-and-potato-puree-topper
DOG_302,Wholesome Egg & Quinoa Loaf,Dog,Adult,"Egg, Quinoa, Broccoli, Salmon Oil","141g, 80g, 52g, 10g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli) so they are easily digestible. | Mix the cooked Egg, Quinoa, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",149,8.2,9.6,7.8,"Vitamin B12, Vitamin C","Potassium, Manganese, Zinc, Calcium",15 mins,Medium,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/dog-wholesome-egg-and-quinoa-loaf
DOG_303,Homestyle Turkey Breast & Potato Skillet Mix,Dog,Senior,"Turkey Breast, Potato, Carrots, Salmon Oil","184g, 76g, 39g, 13g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Turkey Breast, Potato, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",141,18.3,5.1,5.3,"Vitamin A, Vitamin D3, Niacin, Riboflavin","Copper, Manganese, Calcium, Potassium",15 mins,Medium,Digestive Health,Digestive Health Support,https://pawfeed.ai/recipes/dog-homestyle-turkey-breast-and-potato-skillet-mix
DOG_304,Nutrient-Rich Lamb Lean & White Rice Bite-Sized Dinner,Dog,Senior,"Lamb Lean, White Rice, Broccoli, Zucchini, Celery, Flaxseed Oil","233g, 98g, 64g, 55g, 34g, 15g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Zucchini, Celery) so they are easily digestible. | Mix the cooked Lamb Lean, White Rice, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",195,12.7,13.0,6.9,"Vitamin C, Vitamin B12, Folic Acid","Magnesium, Selenium, Zinc, Manganese",25 mins,Easy,Skin & Coat,Skin & Coat Support,https://pawfeed.ai/recipes/dog-nutrient-rich-lamb-lean-and-white-rice-bite-sized-dinner
DOG_305,Hearty Pork Loin & Oatmeal Skillet Mix,Dog,Baby,"Pork Loin, Oatmeal, Peas, Olive Oil","190g, 144g, 75g, 12g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas) so they are easily digestible. | Mix the cooked Pork Loin, Oatmeal, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",282,18.9,11.6,25.1,"Vitamin E, Vitamin B12, Vitamin C","Potassium, Iron, Calcium",15 mins,Medium,"Puppy/Kitten, Digestive Health","Puppy/Kitten Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-hearty-pork-loin-and-oatmeal-skillet-mix
DOG_306,Hearty Egg & Potato Mash,Dog,Adult,"Egg, Potato, Spinach, Celery, Coconut Oil","182g, 80g, 26g, 54g, 9g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Celery) so they are easily digestible. | Mix the cooked Egg, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",124,7.5,8.4,5.2,"Vitamin B12, Vitamin D3, Riboflavin, Folic Acid","Potassium, Calcium",15 mins,Medium,General Wellness,General Wellness Support,https://pawfeed.ai/recipes/dog-hearty-egg-and-potato-mash
DOG_307,Savory Venison & Sweet Potato Bite-Sized Dinner,Dog,Adult,"Venison, Sweet Potato, Peas, Olive Oil","137g, 77g, 53g, 12g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas) so they are easily digestible. | Mix the cooked Venison, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",151,16.2,5.9,8.2,"Vitamin A, Vitamin D3","Iron, Magnesium",25 mins,Easy,"Joint Health, Digestive Health","Joint Health Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-savory-venison-and-sweet-potato-bite-sized-dinner
DOG_308,Homestyle Venison & Potato Loaf,Dog,Adult,"Venison, Potato, Green Beans, Carrots, Coconut Oil","140g, 135g, 53g, 27g, 5g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Carrots) so they are easily digestible. | Mix the cooked Venison, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",107,12.7,2.6,8.1,"Folic Acid, Vitamin A, Riboflavin, Vitamin E","Zinc, Phosphorus, Manganese, Iron",15 mins,Easy,Digestive Health,Digestive Health Support,https://pawfeed.ai/recipes/dog-homestyle-venison-and-potato-loaf
DOG_309,Homestyle Pork Loin & Oatmeal Bowl,Dog,Senior,"Pork Loin, Oatmeal, Green Beans, Peas, Olive Oil","217g, 124g, 22g, 30g, 8g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Peas) so they are easily digestible. | Mix the cooked Pork Loin, Oatmeal, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",277,20.3,11.7,21.8,"Vitamin A, Niacin, Thiamine","Manganese, Calcium, Zinc, Magnesium",25 mins,Medium,High Protein,High Protein Support,https://pawfeed.ai/recipes/dog-homestyle-pork-loin-and-oatmeal-bowl
DOG_310,Premium Tofu & Sweet Potato Mash,Dog,Adult,"Tofu, Sweet Potato, Carrots, Peas, Spinach, Salmon Oil","120g, 121g, 33g, 77g, 58g, 14g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Peas, Spinach) so they are easily digestible. | Mix the cooked Tofu, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",97,4.2,4.8,10.1,"Folic Acid, Riboflavin, Vitamin A, Vitamin B12","Phosphorus, Selenium, Copper, Magnesium",30 mins,Medium,"Senior Pet, Weight Management","Senior Pet Support, Weight Management Support",https://pawfeed.ai/recipes/dog-premium-tofu-and-sweet-potato-mash
DOG_311,Hearty Venison & Barley Bite-Sized Dinner,Dog,Senior,"Venison, Barley, Carrots, Flaxseed Oil","242g, 95g, 76g, 6g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Venison, Barley, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",187,20.3,3.7,18.3,"Riboflavin, Niacin","Magnesium, Selenium, Iron",15 mins,Easy,Joint Health,Joint Health Support,https://pawfeed.ai/recipes/dog-hearty-venison-and-barley-bite-sized-dinner
DOG_312,Hearty Chicken Breast & Quinoa Mash,Dog,Senior,"Chicken Breast, Quinoa, Green Beans, Zucchini, Spinach, Coconut Oil","179g, 115g, 26g, 68g, 63g, 9g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Zucchini, Spinach) so they are easily digestible. | Mix the cooked Chicken Breast, Quinoa, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",118,13.8,3.9,6.6,"Vitamin B12, Vitamin C, Vitamin E, Vitamin A","Copper, Iron, Phosphorus, Magnesium",30 mins,Medium,"Digestive Health, Skin & Coat","Digestive Health Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-hearty-chicken-breast-and-quinoa-mash
DOG_313,Savory Pork Loin & Sweet Potato Mash,Dog,Baby,"Pork Loin, Sweet Potato, Carrots, Celery, Olive Oil","205g, 83g, 48g, 46g, 13g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Sweet Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Celery) so they are easily digestible. | Mix the cooked Pork Loin, Sweet Potato, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",180,14.5,10.6,5.7,"Vitamin B12, Vitamin D3, Thiamine","Potassium, Copper, Iron",25 mins,Medium,"Joint Health, Digestive Health","Joint Health Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-savory-pork-loin-and-sweet-potato-mash
DOG_314,Slow-Cooked Beef Lean & Potato Casserole,Dog,Adult,"Beef Lean, Potato, Green Beans, Spinach, Peas, Coconut Oil","185g, 136g, 27g, 40g, 79g, 6g","Thoroughly cook the Beef Lean in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Spinach, Peas) so they are easily digestible. | Mix the cooked Beef Lean, Potato, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",148,12.0,7.3,7.9,"Riboflavin, Folic Acid, Vitamin E","Potassium, Copper",30 mins,Easy,"Digestive Health, Weight Management","Digestive Health Support, Weight Management Support",https://pawfeed.ai/recipes/dog-slow-cooked-beef-lean-and-potato-casserole
DOG_315,Nutrient-Rich Salmon Fillet & Pumpkin Puree Casserole,Dog,Adult,"Salmon Fillet, Pumpkin Puree, Peas, Olive Oil","200g, 119g, 20g, 12g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas) so they are easily digestible. | Mix the cooked Salmon Fillet, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",162,12.0,10.9,3.0,"Vitamin A, Thiamine","Calcium, Manganese, Phosphorus, Iron",25 mins,Easy,General Wellness,General Wellness Support,https://pawfeed.ai/recipes/dog-nutrient-rich-salmon-fillet-and-pumpkin-puree-casserole
DOG_316,Premium Beef Lean & Quinoa Skillet Mix,Dog,Senior,"Beef Lean, Quinoa, Carrots, Salmon Oil","194g, 134g, 72g, 12g","Thoroughly cook the Beef Lean in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Beef Lean, Quinoa, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",190,13.8,10.6,8.5,"Vitamin A, Folic Acid, Thiamine","Zinc, Phosphorus, Manganese, Iron",30 mins,Medium,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-premium-beef-lean-and-quinoa-skillet-mix
DOG_317,Slow-Cooked Chicken Breast & Oatmeal Bowl,Dog,Adult,"Chicken Breast, Oatmeal, Peas, Coconut Oil","103g, 75g, 72g, 6g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas) so they are easily digestible. | Mix the cooked Chicken Breast, Oatmeal, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",223,18.9,5.9,23.3,"Vitamin B12, Thiamine, Folic Acid","Iron, Potassium",15 mins,Medium,"High Protein, Puppy/Kitten","High Protein Support, Puppy/Kitten Support",https://pawfeed.ai/recipes/dog-slow-cooked-chicken-breast-and-oatmeal-bowl
DOG_318,Savory Turkey Breast & White Rice Casserole,Dog,Senior,"Turkey Breast, White Rice, Broccoli, Carrots, Peas, Coconut Oil","199g, 144g, 39g, 49g, 78g, 14g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Carrots, Peas) so they are easily digestible. | Mix the cooked Turkey Breast, White Rice, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",129,13.3,3.4,11.2,"Vitamin B12, Thiamine, Folic Acid, Vitamin E","Potassium, Manganese",30 mins,Medium,Digestive Health,Digestive Health Support,https://pawfeed.ai/recipes/dog-savory-turkey-breast-and-white-rice-casserole
DOG_319,Fresh & Healthy Salmon Fillet & Barley Loaf,Dog,Senior,"Salmon Fillet, Barley, Spinach, Carrots, Celery, Olive Oil","229g, 97g, 33g, 58g, 27g, 5g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Carrots, Celery) so they are easily digestible. | Mix the cooked Salmon Fillet, Barley, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",200,13.3,8.3,17.5,"Vitamin C, Thiamine, Vitamin D3","Iron, Zinc, Selenium, Potassium",25 mins,Easy,High Protein,High Protein Support,https://pawfeed.ai/recipes/dog-fresh-and-healthy-salmon-fillet-and-barley-loaf
DOG_320,Savory Lamb Lean & Quinoa Puree topper,Dog,Senior,"Lamb Lean, Quinoa, Carrots, Flaxseed Oil","111g, 54g, 48g, 10g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots) so they are easily digestible. | Mix the cooked Lamb Lean, Quinoa, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",222,13.7,15.4,7.2,"Vitamin A, Thiamine, Vitamin D3, Niacin","Iron, Copper, Manganese, Calcium",20 mins,Medium,Digestive Health,Digestive Health Support,https://pawfeed.ai/recipes/dog-savory-lamb-lean-and-quinoa-puree-topper
DOG_321,Fresh & Healthy Beef Lean & Quinoa Bake,Dog,Adult,"Beef Lean, Quinoa, Broccoli, Peas, Salmon Oil","178g, 146g, 20g, 38g, 7g","Thoroughly cook the Beef Lean in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Peas) so they are easily digestible. | Mix the cooked Beef Lean, Quinoa, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",185,14.2,9.4,9.6,"Folic Acid, Niacin, Thiamine, Vitamin E","Phosphorus, Potassium",25 mins,Medium,"Skin & Coat, Joint Health","Skin & Coat Support, Joint Health Support",https://pawfeed.ai/recipes/dog-fresh-and-healthy-beef-lean-and-quinoa-bake
DOG_322,Wholesome Lamb Lean & Barley Stew,Dog,Senior,"Lamb Lean, Barley, Green Beans, Spinach, Peas, Olive Oil","117g, 138g, 54g, 30g, 25g, 9g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Spinach, Peas) so they are easily digestible. | Mix the cooked Lamb Lean, Barley, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",255,13.3,9.9,29.2,"Niacin, Vitamin E","Copper, Zinc, Potassium, Iron",15 mins,Easy,"General Wellness, Digestive Health","General Wellness Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-wholesome-lamb-lean-and-barley-stew
DOG_323,Savory Cod Fillet & Pumpkin Puree Bake,Dog,Senior,"Cod Fillet, Pumpkin Puree, Celery, Broccoli, Olive Oil","136g, 123g, 59g, 36g, 5g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery, Broccoli) so they are easily digestible. | Mix the cooked Cod Fillet, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",58,7.6,1.8,3.4,"Vitamin E, Folic Acid, Vitamin A, Vitamin D3","Calcium, Iron, Manganese",15 mins,Medium,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-savory-cod-fillet-and-pumpkin-puree-bake
DOG_324,Slow-Cooked Venison & Pumpkin Puree Casserole,Dog,Senior,"Venison, Pumpkin Puree, Celery, Salmon Oil","211g, 66g, 67g, 6g","Thoroughly cook the Venison in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery) so they are easily digestible. | Mix the cooked Venison, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",114,18.4,3.6,1.8,"Niacin, Riboflavin, Vitamin C","Magnesium, Phosphorus, Calcium",30 mins,Easy,"High Protein, Digestive Health","High Protein Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-slow-cooked-venison-and-pumpkin-puree-casserole
DOG_325,Nutrient-Rich Egg & Quinoa Bake,Dog,Baby,"Egg, Quinoa, Celery, Flaxseed Oil","228g, 135g, 59g, 12g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery) so they are easily digestible. | Mix the cooked Egg, Quinoa, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",145,8.3,9.2,7.5,"Vitamin D3, Vitamin E","Manganese, Iron, Magnesium, Selenium",15 mins,Easy,General Wellness,General Wellness Support,https://pawfeed.ai/recipes/dog-nutrient-rich-egg-and-quinoa-bake
DOG_326,Nutrient-Rich Pork Loin & Pumpkin Puree Bowl,Dog,Adult,"Pork Loin, Pumpkin Puree, Carrots, Broccoli, Flaxseed Oil","173g, 114g, 35g, 25g, 15g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Broccoli) so they are easily digestible. | Mix the cooked Pork Loin, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",167,13.5,10.9,3.5,"Folic Acid, Vitamin B12","Selenium, Magnesium, Phosphorus, Iron",30 mins,Easy,"Weight Management, Puppy/Kitten","Weight Management Support, Puppy/Kitten Support",https://pawfeed.ai/recipes/dog-nutrient-rich-pork-loin-and-pumpkin-puree-bowl
DOG_327,Savory Lamb Lean & Quinoa Casserole,Dog,Adult,"Lamb Lean, Quinoa, Peas, Carrots, Olive Oil","212g, 114g, 47g, 58g, 7g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Carrots) so they are easily digestible. | Mix the cooked Lamb Lean, Quinoa, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",200,13.9,12.3,8.2,"Vitamin D3, Thiamine","Selenium, Iron, Calcium, Potassium",25 mins,Medium,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-savory-lamb-lean-and-quinoa-casserole
DOG_328,Savory Turkey Breast & Quinoa Loaf,Dog,Senior,"Turkey Breast, Quinoa, Green Beans, Olive Oil","113g, 57g, 66g, 7g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans) so they are easily digestible. | Mix the cooked Turkey Breast, Quinoa, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",125,15.5,4.1,6.8,"Thiamine, Niacin, Vitamin A","Iron, Magnesium, Manganese, Selenium",25 mins,Easy,"Joint Health, Digestive Health","Joint Health Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-savory-turkey-breast-and-quinoa-loaf
DOG_329,Hearty Salmon Fillet & Brown Rice Stew,Dog,Adult,"Salmon Fillet, Brown Rice, Spinach, Peas, Salmon Oil","121g, 62g, 24g, 33g, 13g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Peas) so they are easily digestible. | Mix the cooked Salmon Fillet, Brown Rice, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",186,11.2,11.7,7.8,"Vitamin A, Thiamine, Riboflavin, Vitamin B12","Manganese, Calcium, Selenium, Potassium",30 mins,Easy,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-hearty-salmon-fillet-and-brown-rice-stew
DOG_330,Premium Salmon Fillet & Barley Bite-Sized Dinner,Dog,Adult,"Salmon Fillet, Barley, Green Beans, Zucchini, Coconut Oil","184g, 101g, 78g, 79g, 13g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Zucchini) so they are easily digestible. | Mix the cooked Salmon Fillet, Barley, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",196,11.4,8.7,17.9,"Folic Acid, Vitamin A, Vitamin C, Thiamine","Potassium, Manganese, Calcium",25 mins,Medium,"Puppy/Kitten, Weight Management","Puppy/Kitten Support, Weight Management Support",https://pawfeed.ai/recipes/dog-premium-salmon-fillet-and-barley-bite-sized-dinner
DOG_331,Premium Lamb Lean & Potato Stew,Dog,Adult,"Lamb Lean, Potato, Zucchini, Spinach, Flaxseed Oil","106g, 148g, 53g, 76g, 10g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Spinach) so they are easily digestible. | Mix the cooked Lamb Lean, Potato, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",136,8.2,8.4,7.5,"Vitamin B12, Vitamin D3, Riboflavin","Copper, Potassium, Calcium",25 mins,Medium,Joint Health,Joint Health Support,https://pawfeed.ai/recipes/dog-premium-lamb-lean-and-potato-stew
DOG_332,Fresh & Healthy Cod Fillet & White Rice Bite-Sized Dinner,Dog,Adult,"Cod Fillet, White Rice, Peas, Celery, Carrots, Flaxseed Oil","183g, 90g, 55g, 25g, 31g, 13g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Peas, Celery, Carrots) so they are easily digestible. | Mix the cooked Cod Fillet, White Rice, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",112,9.8,3.7,9.2,"Vitamin B12, Vitamin D3","Iron, Calcium, Potassium",25 mins,Easy,"Digestive Health, Skin & Coat","Digestive Health Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-fresh-and-healthy-cod-fillet-and-white-rice-bite-sized-dinner
DOG_333,Homestyle Cod Fillet & Pumpkin Puree Bite-Sized Dinner,Dog,Baby,"Cod Fillet, Pumpkin Puree, Spinach, Olive Oil","184g, 84g, 51g, 11g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach) so they are easily digestible. | Mix the cooked Cod Fillet, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",85,10.7,3.8,2.2,"Vitamin E, Niacin","Calcium, Zinc, Copper, Potassium",25 mins,Easy,Senior Pet,Senior Pet Support,https://pawfeed.ai/recipes/dog-homestyle-cod-fillet-and-pumpkin-puree-bite-sized-dinner
DOG_334,Fresh & Healthy Chicken Breast & Potato Loaf,Dog,Baby,"Chicken Breast, Potato, Spinach, Carrots, Celery, Salmon Oil","250g, 50g, 39g, 57g, 41g, 5g","Thoroughly cook the Chicken Breast in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Carrots, Celery) so they are easily digestible. | Mix the cooked Chicken Breast, Potato, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",121,18.2,3.3,3.8,"Vitamin D3, Vitamin C","Zinc, Copper, Magnesium, Selenium",30 mins,Medium,Puppy/Kitten,Puppy/Kitten Support,https://pawfeed.ai/recipes/dog-fresh-and-healthy-chicken-breast-and-potato-loaf
